iter	Logloss
0	0.4530997304
1	0.2981383407
2	0.1993550789
3	0.1407999522
4	0.1034426105
5	0.07918218456
6	0.06315994721
7	0.05233058532
8	0.04512999942
9	0.03964572845
10	0.03617452587
11	0.03355878878
12	0.03146148221
13	0.03001403385
14	0.02886897657
15	0.02808673805
16	0.02748248813
17	0.02699665156
18	0.02663991909
19	0.0263200817
20	0.02602198328
21	0.02581538409
22	0.02565183014
23	0.02551140793
24	0.02541637521
25	0.02530893188
26	0.02524111476
27	0.02520677971
28	0.02517758749
29	0.02515650319
30	0.02514400642
31	0.0251236212
32	0.02509366139
33	0.02507265612
34	0.02504986817
35	0.02503121565
36	0.02502331385
37	0.02499395243
38	0.02498967536
39	0.02496735091
40	0.02492354349
41	0.02490318494
42	0.02488992883
43	0.02488496716
44	0.02487195273
45	0.02483593534
46	0.02481759954
47	0.02481554223
48	0.02480574863
49	0.0248001636
50	0.02479476205
51	0.0247929892
52	0.02478163544
53	0.02477778026
54	0.02477497524
55	0.02476899826
56	0.02476682525
57	0.02475940426
58	0.02475709171
59	0.02473457096
60	0.02472838057
61	0.02472169889
62	0.02471909184
63	0.02471676363
64	0.02470918886
65	0.02469794308
66	0.02469320297
67	0.02469226641
68	0.02469013829
69	0.02468418608
70	0.02467190978
71	0.02466415503
72	0.02466207763
73	0.02465973819
74	0.02465708791
75	0.02465004955
76	0.0246476379
77	0.02464581995
78	0.02464429697
79	0.02464206296
80	0.02463168293
81	0.02462658057
82	0.02461767024
83	0.0246082415
84	0.02460392867
85	0.02459522637
86	0.02459175779
87	0.02459082379
88	0.02458893525
89	0.02458616693
90	0.02458513548
91	0.02458258593
92	0.02458166737
93	0.02457503943
94	0.02456375766
95	0.02456200911
96	0.02455810159
97	0.02455404144
98	0.02454268651
99	0.02452978895
100	0.02452378905
101	0.02451382554
102	0.02450756853
103	0.02449427784
104	0.02448955109
105	0.02448304026
106	0.02447926058
107	0.02447851404
108	0.0244767454
109	0.02447672296
110	0.02447612157
111	0.02447166196
112	0.02446334649
113	0.02446247538
114	0.02445303563
115	0.02444879527
116	0.02444602533
117	0.02443973373
118	0.02442821613
119	0.02442254206
120	0.02441656133
121	0.02441417143
122	0.02441166653
123	0.02440539013
124	0.02440352915
125	0.02440243459
126	0.02439529968
127	0.02439095881
128	0.02438872294
129	0.02438813791
130	0.02438738554
131	0.02438599903
132	0.02438225862
133	0.02438127016
134	0.0243773631
135	0.02437574429
136	0.02437317838
137	0.02437060055
138	0.02436919185
139	0.02436786566
140	0.02436682649
141	0.02436376694
142	0.02436313493
143	0.02435874989
144	0.02435441393
145	0.02435323054
146	0.02435051341
147	0.02435055479
148	0.02434862323
149	0.02434769158
150	0.02434210141
151	0.02433296343
152	0.02433189762
153	0.02432881516
154	0.02432853001
155	0.02432373664
156	0.02432253572
157	0.02431984874
158	0.02431353424
159	0.02431338301
160	0.02431238801
161	0.02431012432
162	0.02430939601
163	0.0243041097
164	0.02430373853
165	0.02430335474
166	0.02429962556
167	0.02429703346
168	0.02429597933
169	0.0242928943
170	0.02429225645
171	0.02429202108
172	0.02428950543
173	0.02428765825
174	0.02428667986
175	0.02428278822
176	0.02428102963
177	0.02427964734
178	0.02427916211
179	0.02427818979
180	0.02427745681
181	0.02427421868
182	0.02427097005
183	0.02427070711
184	0.02426840906
185	0.0242659121
186	0.024265522
187	0.02426418693
188	0.02426035793
189	0.024248001
190	0.02423785073
191	0.02423696418
192	0.02423468296
193	0.02422833083
194	0.02421969281
195	0.02421167043
196	0.02421045784
197	0.0242036074
198	0.02420315419
199	0.02420285829
200	0.02420030851
201	0.02419687873
202	0.02419609082
203	0.02419583746
204	0.02419530736
205	0.02419458395
206	0.02419262808
207	0.02418768723
208	0.02418224642
209	0.02418178784
210	0.02417958024
211	0.02417819655
212	0.02417735652
213	0.02417656838
214	0.0241730589
215	0.02417145854
216	0.02417039833
217	0.02416976609
218	0.02416925725
219	0.02416568396
220	0.02416342939
221	0.02415960085
222	0.02415917616
223	0.02415817765
224	0.02415697721
225	0.02415571833
226	0.02415252018
227	0.02414969436
228	0.02414893941
229	0.02414744002
230	0.02414640061
231	0.02414542899
232	0.02414281399
233	0.02414236826
234	0.02414179188
235	0.02414030675
236	0.02413641979
237	0.02413522683
238	0.02413463174
239	0.02413187324
240	0.02413103437
241	0.02413057391
242	0.02412983089
243	0.02412138849
244	0.02411530423
245	0.02411399556
246	0.0241118499
247	0.02410973462
248	0.02410853604
249	0.02410722644
250	0.02410664538
251	0.02410198851
252	0.02410135651
253	0.02409784913
254	0.02409603233
255	0.02409552934
256	0.02409381001
257	0.02409112069
258	0.0240900911
259	0.02408881796
260	0.0240870035
261	0.02408578156
262	0.02408552235
263	0.02408509532
264	0.02408422724
265	0.02408166272
266	0.02407990482
267	0.02407662931
268	0.02407611135
269	0.0240741403
270	0.02407255349
271	0.02407108519
272	0.02407072594
273	0.02407008529
274	0.02406879695
275	0.02406831313
276	0.02406223564
277	0.02406034568
278	0.02405906156
279	0.02405872428
280	0.02405667235
281	0.02405405549
282	0.02405282606
283	0.02405213117
284	0.02405174317
285	0.02405166347
286	0.02405092254
287	0.02405018582
288	0.02404940983
289	0.02404910808
290	0.02404805208
291	0.02404575707
292	0.02404505237
293	0.02404484412
294	0.02404395617
295	0.02403922003
296	0.02403827038
297	0.02403715338
298	0.02403725576
299	0.02403700262
